+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------------------------------+-----+-------------------------------------+----------+
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 440536     | 3437.37                            | 8669.77                          | 6   | 13808,13983,14158,13810,13985,14160 | 152.22   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 65536      | 652.12                             | 1475.97                          | 6   | 10091,10266,10441,10093,10268,10443 | 126.33   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 32768      | 328.96                             | 743.58                           | 6   | 9034,9209,9384,9036,9211,9386       | 126.04   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 190536     | 1104.71                            | 2429.79                          | 6   | 5380,5555,5730,5382,5557,5732       | 119.95   |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 2          | 1.28                               | 2.81                             | 6   | 21851,22019,22187,21853,22021,22189 | 119.53   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 8192       | 63.67                              | 130.95                           | 6   | 13745,13920,14095,13747,13922,14097 | 105.67   |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 4          | 0.82                               | 1.62                             | 6   | 1593,1768,1943,1595,1770,1945       | 97.56    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 190536     | 1542.83                            | 3013.12                          | 6   | 12205,12380,12555,12207,12382,12557 | 95.3     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 4          | 1.0                                | 1.94                             | 6   | 18,193,368,20,195,370               | 94.0     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 16384      | 135.44                             | 261.47                           | 6   | 12177,12352,12527,12179,12354,12529 | 93.05    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 503036     | 4093.78                            | 7801.15                          | 6   | 12240,12415,12590,12242,12417,12592 | 90.56    |
